CPU Name,Cores,CPU Mark,Thread Mark,TDP (W),Socket,Category
ARM Cortex-A715 4 Core 2200 MHz,4,"3,432","1,461",NA,Unknown,Unknown
ARM Cortex-A72 1 Core 0 MHz,1,400,561,NA,Unknown,Unknown
ARM Cortex-A72 16 Core 0 MHz,16,"5,192",579,NA,Unknown,Mobile/Embedded
ARM Cortex-A72 16 Core 2000 MHz,16,"5,110",550,NA,Unknown,Unknown
ARM Cortex-A72 16 Core 2200 MHz,16,"5,470",601,NA,Unknown,Mobile/Embedded
ARM Cortex-A72 2 Core 0 MHz,2,693,536,NA,Unknown,Mobile/Embedded
ARM Cortex-A72 2 Core 1199 MHz,2,509,384,NA,Unknown,Unknown
ARM Cortex-A72 2 Core 1703 MHz,2,842,552,NA,Unknown,Unknown
ARM Cortex-A72 4 Core 0 MHz,4,"2,088","1,085",NA,Unknown,Mobile/Embedded
ARM Cortex-A72 4 Core 1000 MHz,4,608,354,NA,Unknown,Mobile/Embedded
ARM Cortex-A72 4 Core 1200 MHz,4,174,178,NA,Unknown,Mobile/Embedded
ARM Cortex-A72 4 Core 1416 MHz,4,927,491,NA,Unknown,Mobile/Embedded
ARM Cortex-A72 4 Core 1500 MHz,4,618,444,NA,Unknown,Mobile/Embedded
ARM Cortex-A72 4 Core 1600 MHz,4,667,429,NA,Unknown,Mobile/Embedded
ARM Cortex-A72 4 Core 1700 MHz,4,541,423,NA,Unknown,Mobile/Embedded
ARM Cortex-A72 4 Core 1750 MHz,4,335,463,NA,Unknown,Mobile/Embedded
ARM Cortex-A72 4 Core 1800 MHz,4,675,504,NA,Unknown,Mobile/Embedded
ARM Cortex-A72 4 Core 1850 MHz,4,199,343,NA,Unknown,Mobile/Embedded
ARM Cortex-A72 4 Core 1900 MHz,4,742,555,NA,Unknown,Mobile/Embedded
ARM Cortex-A72 4 Core 2000 MHz,4,762,568,NA,Unknown,Mobile/Embedded
ARM Cortex-A72 4 Core 2016 MHz,4,"2,201",597,NA,Unknown,Unknown
ARM Cortex-A72 4 Core 2100 MHz,4,674,545,NA,Unknown,Mobile/Embedded
ARM Cortex-A72 4 Core 2200 MHz,4,793,596,NA,Unknown,Mobile/Embedded
ARM Cortex-A72 4 Core 2208 MHz,4,"2,290",623,NA,Unknown,Unknown
ARM Cortex-A72 4 Core 2300 MHz,4,873,653,NA,Unknown,Mobile/Embedded
ARM Cortex-A72 4 Core 2394 MHz,4,"1,254",800,NA,Unknown,Mobile/Embedded
ARM Cortex-A72 4 Core 2400 MHz,4,"1,158",776,NA,Unknown,Mobile/Embedded
ARM Cortex-A72 4 Core 2800 MHz,4,314,243,NA,Unknown,Mobile/Embedded
ARM Cortex-A72 4 Core 800 MHz,4,279,214,NA,Unknown,Mobile/Embedded
ARM Cortex-A72 6 Core 1008 MHz,6,734,394,NA,Unknown,Mobile/Embedded
ARM Cortex-A72 6 Core 1416 MHz,6,"1,071",464,NA,Unknown,Mobile/Embedded
ARM Cortex-A72 6 Core 1512 MHz,6,"1,183",533,NA,Unknown,Mobile/Embedded
ARM Cortex-A72 8 Core 0 MHz,8,"3,254",961,NA,Unknown,Mobile/Embedded
ARM Cortex-A72 8 Core 2016 MHz,8,"2,208",591,NA,Unknown,Unknown
ARM Cortex-A720 12 Core 2600 MHz,12,"6,920","1,452",NA,Unknown,Unknown
ARM Cortex-A720 6 Core 2600 MHz,6,"7,226","1,454",NA,Unknown,Unknown
ARM Cortex-A720 8 Core 2600 MHz,8,"6,141","1,455",NA,Unknown,Unknown
ARM Cortex-A725 10 Core 2808 MHz,10,"25,124","3,686",NA,Unknown,Unknown
ARM Cortex-A73 4 Core 0 MHz,4,908,463,NA,Unknown,Unknown
ARM Cortex-A73 4 Core 1800 MHz,4,891,429,NA,Unknown,Unknown
ARM Cortex-A73 4 Core 1844 MHz,4,"1,368",656,NA,Unknown,Mobile/Embedded
ARM Cortex-A73 4 Core 1900 MHz,4,"1,547",610,NA,Unknown,Mobile/Embedded
ARM Cortex-A73 4 Core 1989 MHz,4,"1,783",564,NA,Unknown,Mobile/Embedded
ARM Cortex-A73 4 Core 2100 MHz,4,"1,185",570,NA,Unknown,Mobile/Embedded
ARM Cortex-A73 4 Core 2208 MHz,4,"1,211",617,NA,Unknown,Unknown
ARM Cortex-A73 6 Core 1896 MHz,6,"1,242",483,NA,Unknown,Unknown
ARM Cortex-A73 6 Core 1992 MHz,6,"1,311",479,NA,Unknown,Mobile/Embedded
ARM Cortex-A73 6 Core 2016 MHz,6,"1,445",605,NA,Unknown,Mobile/Embedded
ARM Cortex-A73 8 Core 1989 MHz,8,"1,803",559,NA,Unknown,Unknown
ARM Cortex-A76 2 Core 0 MHz,2,"1,949",326,NA,Unknown,Unknown
ARM Cortex-A76 4 Core 1500 MHz,4,"1,488",649,NA,Unknown,Unknown
ARM Cortex-A76 4 Core 1608 MHz,4,"2,698",848,NA,Unknown,Unknown
ARM Cortex-A76 4 Core 1800 MHz,4,"3,117",990,NA,Unknown,Mobile/Embedded
[Dual CPU] ARM Cortex-A76 4 Core 1800 MHz,4,"3,108",980,NA,Unknown,Mobile/Embedded
ARM Cortex-A76 4 Core 2000 MHz,4,"1,513",676,NA,Unknown,Unknown
ARM Cortex-A76 4 Core 2400 MHz,4,"2,175","1,050",NA,Unknown,Mobile/Embedded
ARM Cortex-A76 4 Core 2500 MHz,4,"2,342","1,104",NA,Unknown,Unknown
ARM Cortex-A76 4 Core 2600 MHz,4,"2,327","1,135",NA,Unknown,Mobile/Embedded
ARM Cortex-A76 4 Core 2700 MHz,4,"2,383","1,169",NA,Unknown,Mobile/Embedded
ARM Cortex-A76 4 Core 2800 MHz,4,"2,477","1,212",NA,Unknown,Mobile/Embedded
ARM Cortex-A76 4 Core 2900 MHz,4,"2,624","1,293",NA,Unknown,Mobile/Embedded
ARM Cortex-A76 4 Core 3000 MHz,4,"2,615","1,302",NA,Unknown,Mobile/Embedded
ARM Cortex-A76 4 Core 3100 MHz,4,"2,734","1,341",NA,Unknown,Unknown
ARM Cortex-A76 4 Core 3200 MHz,4,"2,579","1,291",NA,Unknown,Mobile/Embedded
ARM Cortex-A76 4 Core 3300 MHz,4,"2,493","1,288",NA,Unknown,Mobile/Embedded
ARM Cortex-A76 4 Core 3400 MHz,4,"2,580","1,282",NA,Unknown,Mobile/Embedded
ARM Cortex-A76 8 Core 0 MHz,8,"1,917",631,NA,Unknown,Mobile/Embedded
ARM Cortex-A76 8 Core 1800 MHz,8,"3,064",989,NA,Unknown,Mobile/Embedded
ARM Cortex-A78 4 Core 1958 MHz,4,"3,378","1,475",NA,Unknown,Unknown
ARM Cortex-A78 4 Core 2000 MHz,4,"3,016","1,121",NA,Unknown,"Laptop, Mobile/Embedded"
ARM Cortex-A78 8 Core,8,"2,845","1,607",NA,Unknown,"Laptop, Mobile/Embedded"
ARM Cortex-A78AE 10 Core 2112 MHz,10,"5,520","1,154",NA,Unknown,Unknown
ARM Cortex-A78AE 12 Core 2201 MHz,12,"6,895","1,161",NA,Unknown,Unknown
ARM Cortex-A78AE 16 Core 0 MHz,16,"9,072","1,167",NA,Unknown,Unknown
ARM Cortex-A78AE 6 Core 1510 MHz,6,"2,418",825,NA,Unknown,Unknown
ARM Cortex-A78AE 6 Core 1728 MHz,6,"2,778",907,NA,Unknown,Unknown
ARM Cortex-A78AE 8 Core 1984 MHz,8,"3,764",908,NA,Unknown,Unknown
ARM Cortex-A78AE 8 Core 2201 MHz,8,"3,788",938,NA,Unknown,Unknown
ARM Cortex-X1 4 Core 0 MHz,4,"2,326","1,118",NA,Unknown,Unknown
ARM Cortex-X1 4 Core 1803 MHz,4,"2,348","1,159",NA,Unknown,Unknown
ARM Cortex-X1C 4 Core 2438 MHz,4,"6,007","1,244",NA,Unknown,Unknown
ARM D2000/8 8 Core 2300 MHz,8,"2,674",589,NA,Unknown,Mobile/Embedded
ARM Falkor V1/Kryo 4 Core 1612 MHz,4,"1,453",472,NA,Unknown,Unknown
ARM Falkor V1/Kryo 8 Core 1900 MHz,8,"1,652",542,NA,Unknown,Mobile/Embedded
ARM Falkor-V1/Kryo 4 Core 1900 MHz,4,"1,656",545,NA,Unknown,Unknown
ARM Firestorm 4 Core 2064 MHz,4,"7,804","2,941",NA,Unknown,Mobile/Embedded
ARM Firestorm 8 Core 2064 MHz,8,"6,775","2,804",NA,Unknown,Mobile/Embedded
ARM Firestorm-M1 4 Core 2064 MHz,4,"7,752","2,948",NA,Unknown,Mobile/Embedded
ARM Firestorm-M1-Pro 8 Core 2064 MHz,8,"9,872","2,999",NA,Unknown,Unknown
ARM FT-2000+/64 64 Core 0 MHz,64,"9,605",559,NA,Unknown,Mobile/Embedded
ARM FT-2000/4 4 Core 2200 MHz,4,881,565,NA,Unknown,Mobile/Embedded
ARM FTC662 64 Core 0 MHz,64,"8,008",566,NA,Unknown,Mobile/Embedded
ARM FTC663 8 Core 0 MHz,8,"2,408",518,NA,Unknown,Unknown
"ARM HUAWEI,Kunpeng 920 24 Core 2600 MHz",24,"9,496",733,NA,Unknown,Mobile/Embedded
ARM Krait 4 Core 0 MHz,4,393,203,NA,Unknown,Mobile/Embedded
ARM Kryo-3XX-Gold 4 Core 1766 MHz,4,"2,222",877,NA,Unknown,Unknown
ARM Kryo-3XX-Gold 8 Core 1766 MHz,8,"2,372",870,NA,Unknown,Unknown
ARM Kryo-4XX-Gold 1 Core 0 MHz,1,769,956,NA,Unknown,Unknown
ARM Kryo-4XX-Gold 8 Core 0 MHz,8,"3,864","1,193",NA,Unknown,Unknown
ARM Kryo-4XX-Gold 8 Core 1804 MHz,8,"2,531","1,128",NA,Unknown,Mobile/Embedded
ARM Kryo-4XX-Silver 4 Core 1766 MHz,4,"3,696","1,204",NA,Unknown,Unknown
ARM Kryo-4XX-Silver 4 Core 1804 MHz,4,"3,172","1,296",NA,Unknown,Unknown
ARM Kunpeng-920 16 Core 0 MHz,16,"7,202",738,NA,Unknown,Unknown
ARM Kunpeng-920 24 Core 0 MHz,24,"8,870",753,NA,Unknown,Mobile/Embedded
ARM Kunpeng-920 24 Core 2600 MHz,24,"9,841",737,NA,Unknown,Unknown
ARM Kunpeng-920 8 Core 0 MHz,8,"3,989",735,NA,Unknown,Mobile/Embedded
ARM Kunpeng-920 8 Core 2600 MHz,8,"3,910",735,NA,Unknown,Mobile/Embedded
ARM Neoverse-N1 1 Core 0 MHz,1,724,"1,127",NA,Unknown,Server
ARM Neoverse-N1 10 Core 0 MHz,10,"7,390","1,301",NA,Unknown,Server
ARM Neoverse-N1 12 Core 0 MHz,12,"8,994","1,290",NA,Unknown,Server
ARM Neoverse-N1 128 Core 2600 MHz,128,"35,265","1,160",NA,Unknown,Unknown
ARM Neoverse-N1 128 Core 2800 MHz,128,"43,111","1,239",NA,Unknown,Server
ARM Neoverse-N1 128 Core 3000 MHz,128,"39,780","1,329",NA,Unknown,Server
ARM Neoverse-N1 16 Core 0 MHz,16,"11,451","1,301",NA,Unknown,Server
ARM Neoverse-N1 2 Core 0 MHz,2,"1,516","1,270",NA,Unknown,Server
ARM Neoverse-N1 3 Core 0 MHz,3,"2,385","1,318",NA,Unknown,Unknown
ARM Neoverse-N1 32 Core 0 MHz,32,"17,384","1,106",NA,Unknown,Server
ARM Neoverse-N1 32 Core 1700 MHz,32,"11,841",755,NA,Unknown,Server
ARM Neoverse-N1 4 Core 0 MHz,4,"3,117","1,301",NA,Unknown,Server
ARM Neoverse-N1 48 Core 0 MHz,48,"27,266","1,323",NA,Unknown,Server
ARM Neoverse-N1 5 Core 0 MHz,5,"3,981","1,325",NA,Unknown,Unknown
ARM Neoverse-N1 6 Core 0 MHz,6,"4,575","1,295",NA,Unknown,Server
ARM Neoverse-N1 60 Core 0 MHz,60,"30,828","1,311",NA,Unknown,Server
ARM Neoverse-N1 64 Core 0 MHz,64,"28,040","1,093",NA,Unknown,Server
ARM Neoverse-N1 64 Core 2200 MHz,64,"20,250",917,NA,Unknown,Unknown
ARM Neoverse-N1 64 Core 3000 MHz,64,"17,515","1,339",NA,Unknown,Unknown
ARM Neoverse-N1 8 Core 0 MHz,8,"5,976","1,272",NA,Unknown,Server
ARM Neoverse-N1 80 Core 0 MHz,80,"34,878","1,320",NA,Unknown,Server
ARM Neoverse-N1 80 Core 2600 MHz,80,"18,823","1,127",NA,Unknown,Server
ARM Neoverse-N1 80 Core 2800 MHz,80,"11,755",434,NA,Unknown,Server
ARM Neoverse-N1 80 Core 3000 MHz,80,"34,788","1,328",NA,Unknown,Server
ARM Neoverse-N1 96 Core 2800 MHz,96,"29,890","1,248",NA,Unknown,Unknown
ARM Neoverse-N2 16 Core 0 MHz,16,"14,636","1,872",NA,Unknown,Unknown
ARM Neoverse-N2 2 Core 0 MHz,2,"1,987","1,874",NA,Unknown,Unknown
ARM Neoverse-N2 8 Core 2500 MHz,8,"5,544","1,361",NA,Unknown,Unknown
ARM Neoverse-V1 1 Core 0 MHz,1,785,"1,472",NA,Unknown,Unknown
ARM Neoverse-V1 16 Core 0 MHz,16,"11,519","1,554",NA,Unknown,Server
ARM Neoverse-V1 2 Core 0 MHz,2,"1,567","1,542",NA,Unknown,Server
ARM Neoverse-V1 4 Core 0 MHz,4,"3,084","1,552",NA,Unknown,Server
ARM Neoverse-V2 1 Core 0 MHz,1,944,"1,841",NA,Unknown,Unknown
ARM Neoverse-V2 2 Core 0 MHz,2,"1,995","1,941",NA,Unknown,Unknown
ARM Neoverse-V2 4 Core 0 MHz,4,"3,940","1,925",NA,Unknown,Unknown
ARM Neoverse-V2 72 Core 3411 MHz,72,"56,432","2,294",NA,Unknown,Unknown
ARM Neoverse-V2 72 Core 3447 MHz,72,"57,299","2,311",NA,Unknown,Unknown
ARM Neoverse-V2 72 Core 3465 MHz,72,"57,369","2,328",NA,Unknown,Unknown
ARM Neoverse-V2 72 Core 3519 MHz,72,"57,240","2,340",NA,Unknown,Server
ARM Neoverse-V2 96 Core 0 MHz,96,"56,557","1,933",NA,Unknown,Unknown
ARM Oryon 12 Core 3417 MHz,12,"14,036","2,906",NA,Unknown,Unknown
ARM Oryon 8 Core 0 MHz,8,"4,955","1,038",NA,Unknown,Unknown
ARM Phytium D3000 8 Core 2500 MHz,8,"5,528","1,247",NA,Unknown,Unknown
ARM phytium FT1500a 4 Core 2000 MHz,4,"1,579",716,NA,Unknown,Mobile/Embedded
ARM Phytium FTC303 2 Core 1800 MHz,2,786,442,NA,Unknown,Unknown
"ARM Phytium,D2000/8 8 Core 2000 MHz",8,"2,409",513,NA,Unknown,Mobile/Embedded
"ARM Phytium,D2000/8 8 Core 2300 MHz",8,"2,690",591,NA,Unknown,Mobile/Embedded
"ARM Phytium,D2000/8 E8C 8 Core 2300 MHz",8,"2,522",587,NA,Unknown,Mobile/Embedded
"ARM Phytium,FT-2000/4 4 Core 0 MHz",4,"1,658",684,NA,Unknown,Mobile/Embedded
"ARM Phytium,FT-2000/4 8 Core 2300 MHz",8,"2,720",603,NA,Unknown,Mobile/Embedded
"ARM Phytium,FT-D3000 8 Core 2500 MHz",8,"5,601","1,250",NA,Unknown,Unknown
ARM Phytium-D3000M 8-C 8 Core 1800 MHz,8,"4,541","1,291",NA,Unknown,Unknown
ARM X-Gene 32 Core 3000 MHz,32,"8,202",608,NA,Unknown,Mobile/Embedded
ARM X-Gene 32 Core 3300 MHz,32,"8,684",583,NA,Unknown,Mobile/Embedded
ARM X-Gene 8 Core 0 MHz,8,"1,091",394,NA,Unknown,Mobile/Embedded
ASUS Tinker Board 2/2S,6,"1,771",910,NA,Unknown,Mobile/Embedded
Athlon 64 Dual Core 3800+,2,736,653,35,Unknown,Unknown
Athlon 64 Dual Core 5000+,2,850,924,89,Unknown,Desktop
Athlon 64 Dual Core 5600+,2,875,993,65,AM2,Desktop
Athlon Dual Core 4050e,2,670,744,45,AM2,Desktop
Athlon Dual Core 4450e,2,681,792,45,AM2,Desktop
Athlon Dual Core 4850e,2,769,861,45,AM2,Desktop
BCM2711,4,852,607,NA,Unknown,Mobile/Embedded
BCM2712,4,"3,284","1,464",NA,Unknown,Mobile/Embedded
BCM2835,4,"1,239",700,NA,Unknown,Mobile/Embedded
Broadcom BCM2712,4,"4,376","1,810",NA,Unknown,Mobile/Embedded
Broadcom STB (Flattened Device Tree),4,659,412,NA,Unknown,Mobile/Embedded
C-QuadCore C4600@2.0GHz,4,"1,412",551,NA,Unknown,Unknown
Celeron Dual-Core T3000 @ 1.80GHz,2,650,692,35,PGA478,Laptop
Celeron Dual-Core T3100 @ 1.90GHz,2,625,662,35,BGA479,Laptop
Celeron Dual-Core T3300 @ 2.00GHz,2,633,711,35,Î¼FCPGA-478,Laptop
Celeron Dual-Core T3500 @ 2.10GHz,2,764,849,35,PGA478,Laptop
CentaurHauls @2000MHz,8,"6,549","1,118",NA,Unknown,Desktop
CentaurHauls @2400MHz,8,"7,784","1,345",NA,Unknown,Unknown
CentaurHauls @2500MHz,8,"8,014","1,381",NA,Unknown,Desktop
CIX P1 CD8180,12,"9,277","1,376",NA,Unknown,"Desktop, Laptop"
CIX P1 CP8180,12,"9,892","1,474",NA,Unknown,Unknown
Common KVM v2,1,"2,127","2,566",NA,Unknown,Unknown
Cortex-A76,4,51,32,NA,Unknown,Unknown
DG1201SLF87HW,8,"2,369",567,NA,Unknown,Unknown
DG1301SML87HY,8,"3,624",727,NA,Unknown,Unknown
DG1401SNF87ID,8,"3,645",659,NA,Unknown,Unknown
DG1701SNF87IG,8,"2,981",559,NA,Unknown,Unknown
DO-Regular,1,"1,077","1,273",NA,Unknown,Unknown
Dragonwing QCS5430,8,"4,650","1,695",NA,Unknown,Unknown
Dragonwing QCS6490,8,"6,123","2,041",NA,Unknown,Unknown
Dual-Core AMD Opteron 1220 SE,2,748,900,103,AM2,Server
[Dual CPU] Dual-Core AMD Opteron 2212 HE,2,"1,563",771,68,F (1207),Server
Embedded Ryzen V4728X,8,"24,000","4,015",NA,Unknown,Unknown
Essgoo,4,497,349,NA,Unknown,Mobile/Embedded
Fabrikams XY9 @ 3.15 GHz,8,"6,715","1,885",NA,Unknown,Laptop
Firestorm-M1,4,"4,295","1,541",NA,Unknown,Unknown
General Purpose,1,"3,396","1,943",NA,Unknown,Unknown
Generic DT based system,4,639,461,NA,Unknown,Mobile/Embedded
Giada JHS558 (Android),6,"2,022",835,NA,Unknown,Mobile/Embedded
Google GS201,8,"7,208","2,238",NA,Unknown,Mobile/Embedded
Google R11 BtWifi Evt1.1,2,187,240,NA,Unknown,Mobile/Embedded
Google Tensor,8,"6,700","2,270",NA,Unknown,Mobile/Embedded
Google Tensor G3,9,"8,049","2,385",NA,Unknown,Mobile/Embedded
Google Tensor G4,8,"8,251","2,722",NA,Unknown,Mobile/Embedded
Google Tensor G5,8,"12,193","3,585",NA,Unknown,Mobile/Embedded
Grandstream GXV3480 Video Phone,4,"1,078",503,NA,Unknown,Mobile/Embedded
Hardkernel ODROID-N2Plus,6,"2,115",888,NA,Unknown,Mobile/Embedded
"Haydn based on Qualcomm Technologies, Inc SM8350",8,"5,392","1,896",NA,Unknown,Mobile/Embedded
hi6210sft,8,796,269,NA,Unknown,Mobile/Embedded
hi6250,8,"2,200",660,NA,Unknown,Mobile/Embedded
hi6620oem,4,396,321,NA,Unknown,Mobile/Embedded
High Performance Datacenter v,1,"1,610","1,595",NA,Unknown,Unknown
HiSilicon Kirin,8,"6,490","2,276",NA,Unknown,Mobile/Embedded
HiSilicon Kirin 20,8,"5,949","2,083",NA,Unknown,Mobile/Embedded
HiSilicon Kirin 659,8,"1,893",670,NA,Unknown,Mobile/Embedded
HiSilicon Kirin 710,8,"3,016","1,086",NA,Unknown,Mobile/Embedded
Hisilicon Kirin 925,8,"1,053",398,NA,Unknown,Mobile/Embedded
Hisilicon Kirin 930,8,"1,415",430,NA,Unknown,Mobile/Embedded
Hisilicon Kirin 935,8,"1,599",352,NA,Unknown,Mobile/Embedded
HiSilicon Kirin 950,8,"2,660",826,NA,Unknown,Mobile/Embedded
Hisilicon Kirin 955,8,"2,936",756,NA,Unknown,Mobile/Embedded
HiSilicon Kirin 960,8,"2,897","1,101",NA,Unknown,Mobile/Embedded
HiSilicon Kirin 970,8,"2,908","1,110",NA,Unknown,Mobile/Embedded
Hisilicon Kirin 990,8,"4,021","1,667",NA,Unknown,Mobile/Embedded
Hisilicon Kirin710,8,"2,447",941,NA,Unknown,Mobile/Embedded
Hisilicon Kirin810,8,"2,945","1,515",NA,Unknown,Mobile/Embedded
Hisilicon Kirin820,8,"4,368","1,494",NA,Unknown,Mobile/Embedded
Hisilicon Kirin9000,8,"5,083","2,490",NA,Unknown,Mobile/Embedded
Hisilicon Kirin970,8,"2,692",919,NA,Unknown,Mobile/Embedded
Hisilicon Kirin980,8,"4,394","1,742",NA,Unknown,Mobile/Embedded
Hisilicon Kirin985,8,"4,162","1,823",NA,Unknown,Mobile/Embedded
HP Hexa-Core 2.0GHz,4,"1,741",804,NA,Unknown,Unknown
Hygon C86 3185 8-core,8,"9,243","1,881",95,Unknown,Desktop
Hygon C86 3250 8-core,8,"11,365","1,728",NA,Unknown,Desktop
Hygon C86 3330 4-core,4,"6,031","1,702",35,Unknown,Desktop
Hygon C86 3350 8-core,8,"12,795","1,716",NA,Unknown,Unknown
Hygon C86 3350E 8-core,8,"10,771","1,609",NA,Unknown,Unknown
Hygon C86 3350M 8-core,8,"4,801","1,022",NA,Unknown,Unknown
Hygon C86 52xx series,4,"4,080","1,287",NA,Unknown,Desktop
Hygon C86 7255 16-core,16,"18,831","1,490",NA,Unknown,Server
[Dual CPU] Hygon C86 S316 16-core,16,"27,680","1,677",NA,Unknown,Desktop
Hygon C86-3G,8,"12,691","1,648",NA,Unknown,Unknown
Hygon C86-3G (OPN 3350M),8,"4,660",964,NA,Unknown,Unknown
Hygon C86-3G (OPN:3350),8,"11,328","1,720",NA,Unknown,Server
Hygon C86-3G (OPN:3350M),8,"4,742","1,015",NA,Unknown,Unknown
Hygon C86-3G-3G (OPN:3350),8,"11,712","1,226",NA,Unknown,Unknown
Hygon C86-4G (OPN:3450M),8,"16,306","2,221",NA,Unknown,Unknown
Hygon C86-4G (OPN:3490),16,"21,968","1,745",NA,Unknown,Unknown
Hygon C86-4G (OPN:5440),16,"21,230","1,738",NA,Unknown,Unknown
Hygon Dhyana,4,"9,784","1,668",NA,Unknown,Unknown
Intel 2.80GHz,2,341,456,NA,Unknown,Unknown
Intel 300,2,"7,264","3,212",46,FCLGA1700,Desktop
Intel 300T,2,"5,567","2,691",35,FCLGA1700,Desktop
Intel Atom 230 @ 1.60GHz,1,169,185,4,BGA437,Desktop
Intel Atom 330 @ 1.60GHz,2,381,265,8,BGA437,Desktop
Intel Atom C1110,4,"3,170","1,233",13,Unknown,Mobile/Embedded
Intel Atom C2338 @ 1.74GHz,2,584,233,7,FCBGA1283,Laptop
Intel Atom C2350 @ 1.74GHz,2,531,505,6,FCBGA1283,Server
Intel Atom C2358 @ 1.74GHz,2,562,423,7,FCBGA1283,Laptop
Intel Atom C2538 @ 2.40GHz,4,968,567,15,FCBGA1283,Laptop
Intel Atom C2550 @ 2.40GHz,4,"1,422",554,14,FCBGA1283,Server
Intel Atom C2558 @ 2.40GHz,4,"1,424",512,15,BGA 1283,"Laptop, Mobile/Embedded"
Intel Atom C2750 @ 2.40GHz,8,"2,787",693,20,FCBGA1283,Server
Intel Atom C2750 @ 2.41GHz,8,"2,174",291,20,BGA 1283,Server
Intel Atom C2758 @ 2.40GHz,8,"2,317",571,20,BGA 1283,"Laptop, Mobile/Embedded"
Intel Atom C3338 @ 1.50GHz,2,"1,028",806,8.5,FCBGA1310,"Server, Mobile/Embedded"
Intel Atom C3508 @ 1.60GHz,4,"1,831",628,11.5,FCBGA1310,Server
Intel Atom C3538 @ 2.10GHz,4,"1,910",747,15,FCBGA1310,Server
Intel Atom C3558 @ 2.20GHz,4,"2,431",856,16,FCBGA1310,Server
Intel Atom C3708 @ 1.70GHz,8,"3,750",681,17,FCBGA1310,Server
Intel Atom C3758 @ 2.20GHz,8,"4,652",869,25,FCBGA1310,Server
Intel Atom C3758R @ 2.40GHz,8,"5,098",955,26,FCBGA1310,Server
Intel Atom C3808 @ 2.00GHz,12,"5,671",801,25,FCBGA1310,Server
Intel Atom C3858 @ 2.00GHz,12,"5,040",702,25,FCBGA1310,Server
Intel Atom C3958 @ 2.00GHz,16,"3,929",737,31,FCBGA1310,Server
Intel Atom C5125,8,"8,631","1,486",50,FCBGA2106,Server
Intel Atom D2500 @ 1.86GHz,2,251,327,10,BGA559,Desktop
Intel Atom D2550 @ 1.86GHz,2,428,326,10,BGA559,Desktop
Intel Atom D2560 @ 2.00GHz,2,433,353,10,Unknown,Desktop
Intel Atom D2700 @ 2.13GHz,2,467,368,10,BGA559,Desktop
Intel Atom D2701 @ 2.13GHz,2,515,384,10,BGA559,Laptop
Intel Atom D410 @ 1.66GHz,1,180,241,10,BGA559,Desktop
Intel Atom D425 @ 1.80GHz,1,185,270,10,BGA559,Desktop
Intel Atom D510 @ 1.66GHz,2,406,293,13,BGA559,Desktop
Intel Atom D525 @ 1.80GHz,2,402,296,13,BGA559,Desktop
Intel Atom E3805 @ 1.33GHz,2,406,376,3,FCBGA1170,Mobile/Embedded
Intel Atom E3815 @ 1.46GHz,1,193,273,5,FCBGA1170,Desktop
Intel Atom E3825 @ 1.33GHz,2,378,309,6,FCBGA1170,Desktop
Intel Atom E3826 @ 1.46GHz,2,334,397,7,FCBGA1170,Laptop
Intel Atom E3827 @ 1.74GHz,2,480,471,8,FCBGA1170,Laptop
Intel Atom E3840 @ 1.91GHz,4,704,477,NA,Unknown,Mobile/Embedded
Intel Atom E3845 @ 1.91GHz,4,"1,071",536,10,FCBGA1170,Desktop
Intel Atom E3900 @ 1.60GHz,4,"1,953",675,NA,Unknown,Laptop
Intel Atom N2100 @ 1.60GHz,1,193,287,NA,BGA559,Laptop
Intel Atom N2600 @ 1.60GHz,2,344,277,3.5,BGA559,Laptop
Intel Atom N270 @ 1.60GHz,1,136,174,2.5,BGA437,Laptop
Intel Atom N280 @ 1.66GHz,1,157,234,2.5,BGA437,Laptop
Intel Atom N2800 @ 1.86GHz,2,444,319,6.5,BGA559,Laptop
Intel Atom N435 @ 1.33GHz,1,153,220,NA,Unknown,Unknown
Intel Atom N450 @ 1.66GHz,1,204,279,5.5,BGA559,Laptop
Intel Atom N455 @ 1.66GHz,1,188,266,6.5,BGA559,Laptop
Intel Atom N470 @ 1.83GHz,1,224,306,6.5,BGA559,Laptop
Intel Atom N475 @ 1.83GHz,1,179,281,6.5,BGA559,Laptop
Intel Atom N550 @ 1.50GHz,2,304,239,8.5,BGA559,Laptop
Intel Atom N570 @ 1.66GHz,2,360,276,8.5,BGA559,Laptop
Intel Atom P5322,8,"7,378","1,198",55,FCBGA2106,Server
Intel Atom P5342,16,"13,085","1,185",71,FCBGA2106,Server
Intel Atom P5362,24,"17,276","1,193",83,FCBGA2106,Server
Intel Atom S1260 @ 2.00GHz,2,526,313,8.5,FCBGA1283,Server
Intel Atom T5700 @ 1.70GHz,4,"2,363",906,NA,Unknown,Laptop
Intel Atom x5-E3930 @ 1.30GHz,2,865,607,6.5,BGA1296,Laptop
Intel Atom x5-E3940 @ 1.60GHz,4,"1,816",663,9.5,BGA1296,Laptop
Intel Atom x5-E8000 @ 1.04GHz,4,971,514,5,FCBGA1170,Laptop
Intel Atom x5-Z8300 @ 1.44GHz,4,843,460,4,UTFCBGA592,"Laptop, Mobile/Embedded"
Intel Atom x5-Z8330 @ 1.44GHz,4,800,457,4,Unknown,Laptop
Intel Atom x5-Z8350 @ 1.44GHz,4,893,471,4,UTFCBGA592,Laptop
Intel Atom x5-Z8500 @ 1.44GHz,4,"1,242",629,4,UTFCBGA1380,Laptop
