Videocard Name,G3D Mark,G2D Mark,TDP (W),VRAM (MB),Category
GeForce GT 730M,807,172,33,2048 MB,Mobile
GeForce GT 735M,657,129,NA,2048 MB,Mobile
GeForce GT 740,"1,425",351,64,1024 MB,Desktop
GeForce GT 740A,710,265,NA,NA,Unknown
GeForce GT 740M,779,148,NA,2048 MB,Mobile
GeForce GT 745A,"1,234",297,NA,NA,Unknown
GeForce GT 745M,"1,082",177,45,2048 MB,Mobile
GeForce GT 750M,"1,331",243,50,2048 MB,Mobile
GeForce GT 755M,"1,729",335,50,2048 MB,Mobile
GeForce GT 820M,541,144,NA,NA,Mobile
GeForce GT625M,422,113,NA,NA,Mobile
GeForce GTS 150M,504,407,NA,1024 MB,Mobile
GeForce GTS 160M,679,308,60,1024 MB,Mobile
GeForce GTS 240,515,91,120,1024 MB,Desktop
GeForce GTS 250,568,51,150,1024 MB,Desktop
GeForce GTS 250M,520,37,28,1024 MB,Mobile
GeForce GTS 350M,381,69,28,1024 MB,Mobile
GeForce GTS 360M,631,49,38,1024 MB,Mobile
GeForce GTS 450,"1,340",327,106,1024 MB,Desktop
GeForce GTX 1050,"5,041",458,75,2048 MB,Desktop
GeForce GTX 1050 (Mobile),"4,463",292,NA,4096 MB,Mobile
GeForce GTX 1050 3GB,"5,111",605,75,3072 MB,Desktop
GeForce GTX 1050 Ti,"6,354",654,75,4096 MB,Desktop
GeForce GTX 1050 Ti (Mobile),"5,918",323,NA,4096 MB,Mobile
GeForce GTX 1050 Ti with Max-Q Design,"5,309",340,NA,4096 MB,Mobile
GeForce GTX 1050 with Max-Q Design,"3,915",276,NA,4096 MB,Mobile
GeForce GTX 1060,"10,060",743,120,6144 MB,Desktop
GeForce GTX 1060 (Mobile),"8,160",444,80,6144 MB,Mobile
GeForce GTX 1060 3GB,"9,821",774,120,3072 MB,Desktop
GeForce GTX 1060 5GB,"9,204",634,120,5120 MB,Desktop
GeForce GTX 1060 with Max-Q Design,"7,839",399,80,6144 MB,Mobile
GeForce GTX 1070,"13,509",847,150,8192 MB,Desktop
GeForce GTX 1070 (Mobile),"10,465",603,NA,8192 MB,Mobile
GeForce GTX 1070 Ti,"14,664",878,180,8192 MB,Desktop
GeForce GTX 1070 with Max-Q Design,"9,756",412,90,8192 MB,Mobile
GeForce GTX 1080,"15,614",888,180,8192 MB,Desktop
GeForce GTX 1080 Ti,"18,594",940,250,11264 MB,Desktop
GeForce GTX 1080 with Max-Q Design,"11,604",721,110,8192 MB,Mobile
GeForce GTX 1630,"4,996",658,75,4096 MB,Desktop
GeForce GTX 1650,"7,867",554,75,4096 MB,Desktop
GeForce GTX 1650 (Mobile),"6,968",384,50,4096 MB,Mobile
GeForce GTX 1650 SUPER,"10,188",749,100,4096 MB,Desktop
GeForce GTX 1650 Ti,"7,518",373,55,4096 MB,Mobile
GeForce GTX 1650 Ti with Max-Q Design,"6,591",334,35,4096 MB,Mobile
GeForce GTX 1650 with Max-Q Design,"6,330",332,35,4096 MB,Mobile
GeForce GTX 1660,"11,632",777,120,6144 MB,Desktop
GeForce GTX 1660 SUPER,"12,690",807,125,6144 MB,Desktop
GeForce GTX 1660 Ti,"12,712",786,120,6144 MB,Desktop
GeForce GTX 1660 Ti (Mobile),"10,105",473,80,6144 MB,Mobile
GeForce GTX 1660 Ti with Max-Q Design,"8,610",357,60,6144 MB,Mobile
GeForce GTX 260,"1,200",47,202,896 MB,Desktop
GeForce GTX 260M,382,38,65,1024 MB,Mobile
GeForce GTX 275,"1,351",55,219,896 MB,Desktop
GeForce GTX 280,"1,285",56,236,1024 MB,Desktop
GeForce GTX 280M,576,153,75,1024 MB,Mobile
GeForce GTX 285,"1,475",66,204,1024 MB,Desktop
GeForce GTX 285M,584,106,75,1024 MB,Mobile
GeForce GTX 295,"1,220",71,289,1792 MB,Desktop
GeForce GTX 460,"2,278",397,150,768 MB,Desktop
GeForce GTX 460 SE,"1,992",377,150,1024 MB,Desktop
GeForce GTX 460 v2,"2,074",408,160,1024 MB,Desktop
GeForce GTX 460M,"1,219",257,50,1536 MB,Mobile
GeForce GTX 465,"2,656",464,200,1024 MB,Desktop
GeForce GTX 470,"3,160",411,215,1280 MB,Desktop
GeForce GTX 470M,"1,953",413,50,1536 MB,Mobile
GeForce GTX 480,"4,079",432,250,1536 MB,Desktop
GeForce GTX 480M,"1,653",430,100,2048 MB,Mobile
GeForce GTX 485M,"2,360",479,100,2048 MB,Mobile
GeForce GTX 550 Ti,"1,553",386,116,3072 MB,Desktop
GeForce GTX 555,"1,604",441,150,1024 MB,Desktop
GeForce GTX 560,"2,773",432,150,1024 MB,Desktop
GeForce GTX 560 SE,"1,847",482,150,1024 MB,Desktop
GeForce GTX 560 Ti,"3,080",440,170,2048 MB,Desktop
GeForce GTX 560M,"1,284",271,75,3072 MB,Mobile
GeForce GTX 570,"3,930",477,219,2560 MB,Desktop
GeForce GTX 570M,"1,862",363,75,1536 MB,Mobile
GeForce GTX 580,"4,630",489,244,3072 MB,Desktop
GeForce GTX 580M,"1,772",321,100,2048 MB,Mobile
GeForce GTX 590,"3,341",394,365,3072 MB,Desktop
GeForce GTX 645,"1,876",427,64,1024 MB,Desktop
GeForce GTX 650,"1,757",377,64,2048 MB,Desktop
GeForce GTX 650 Ti,"2,529",418,110,2048 MB,Desktop
GeForce GTX 650 Ti BOOST,"3,410",474,134,2048 MB,Desktop
GeForce GTX 660,"4,043",492,140,3072 MB,Desktop
GeForce GTX 660 Ti,"4,413",472,150,3072 MB,Desktop
GeForce GTX 660M,"1,452",275,50,2048 MB,Mobile
GeForce GTX 670,"5,360",539,170,4096 MB,Desktop
GeForce GTX 670M,"1,720",310,75,3072 MB,Mobile
GeForce GTX 670MX,"1,978",333,75,3072 MB,Mobile
GeForce GTX 675M,"1,855",277,100,2048 MB,Mobile
GeForce GTX 675MX,"2,987",380,100,4096 MB,Mobile
GeForce GTX 680,"5,612",533,195,4096 MB,Desktop
GeForce GTX 680M,"3,277",354,100,4096 MB,Mobile
GeForce GTX 680M KY_Bullet Edition,"3,569",581,NA,NA,Mobile
GeForce GTX 680MX,"3,799",458,122,4096 MB,Mobile
GeForce GTX 690,"5,536",490,300,2048 MB,Desktop
GeForce GTX 745,"2,121",479,55,4096 MB,Desktop
GeForce GTX 750,"3,312",520,55,2048 MB,Desktop
GeForce GTX 750 Ti,"3,902",531,60,4096 MB,Desktop
GeForce GTX 760,"4,817",539,170,4096 MB,Desktop
GeForce GTX 760 Ti,"5,307",548,170,2048 MB,Desktop
GeForce GTX 760 Ti OEM,"5,474",571,NA,NA,Unknown
GeForce GTX 760A,"1,226",384,NA,NA,Unknown
GeForce GTX 760M,"1,730",231,55,2048 MB,Mobile
GeForce GTX 765M,"2,008",284,65,2048 MB,Mobile
GeForce GTX 770,"5,965",567,230,4096 MB,Desktop
GeForce GTX 770M,"2,794",337,75,3072 MB,Mobile
GeForce GTX 775M,"3,928",543,NA,NA,Mobile
GeForce GTX 780,"7,951",589,250,6144 MB,Desktop
GeForce GTX 780 Ti,"9,465",631,250,3072 MB,Desktop
GeForce GTX 780M,"3,866",422,122,4096 MB,Mobile
GeForce GTX 850A,767,198,NA,NA,Unknown
GeForce GTX 850M,"2,539",228,40,2048 MB,Mobile
GeForce GTX 850M - MODDED,"1,092",819,NA,NA,Mobile
GeForce GTX 860M,"3,097",229,45,2048 MB,Mobile
GeForce GTX 870M,"3,536",279,110,6144 MB,Mobile
GeForce GTX 880M,"3,841",334,130,8192 MB,Mobile
GeForce GTX 950,"5,354",651,90,2048 MB,Desktop
GeForce GTX 950A,"2,599",270,NA,NA,Unknown
GeForce GTX 950M,"2,573",216,75,2048 MB,Mobile
GeForce GTX 960,"6,134",676,120,4096 MB,Desktop
GeForce GTX 960A,"3,465",312,NA,NA,Unknown
GeForce GTX 960M,"3,372",244,65,4096 MB,Mobile
GeForce GTX 965M,"3,872",352,60,4096 MB,Mobile
GeForce GTX 970,"9,638",764,145,4096 MB,Desktop
GeForce GTX 970M,"5,708",375,75,3072 MB,Mobile
GeForce GTX 970XM FORCE,"6,707",725,NA,NA,Unknown
GeForce GTX 980,"11,070",790,165,4096 MB,Desktop
GeForce GTX 980 Ti,"13,696",852,250,6144 MB,Desktop
GeForce GTX 980M,"7,366",494,100,4096 MB,Mobile
GeForce GTX Titan,"8,185",662,250,6144 MB,Desktop
GeForce GTX TITAN Black,"9,192",606,250,6144 MB,Desktop
GeForce GTX TITAN X,"12,587",814,250,12288 MB,Desktop
GeForce GTX TITAN Z,"8,811",622,375,12288 MB,Desktop
GeForce MX110,"1,413",189,NA,NA,Unknown
GeForce MX130,"1,805",195,NA,NA,Unknown
GeForce MX150,"2,257",212,25,2048 MB,Mobile
GeForce MX230,"1,824",213,10,2048 MB,Mobile
GeForce MX250,"2,376",239,25,2048 MB,Mobile
GeForce MX330,"2,348",226,NA,NA,Unknown
GeForce MX350,"2,826",239,NA,NA,Unknown
GeForce MX450,"3,724",306,NA,NA,Unknown
GeForce MX550,"4,474",391,NA,NA,Unknown
GeForce MX570,"5,750",388,NA,NA,Unknown
GeForce MX570 A,"6,271",398,NA,NA,Unknown
GeForce PCX 5300,6,197,NA,128 MB,Desktop
GeForce PCX 5750,35,310,NA,128 MB,Desktop
GeForce PCX 5900,34,258,NA,256 MB,Desktop
GeForce RTX 2050,"7,705",479,45,4096 MB,Mobile
GeForce RTX 2060,"14,115",746,160,6144 MB,Desktop
GeForce RTX 2060 (Mobile),"11,353",540,80,6144 MB,Mobile
GeForce RTX 2060 12GB,"15,935",853,185,12288 MB,Desktop
GeForce RTX 2060 SUPER,"16,483",857,175,8192 MB,Desktop
GeForce RTX 2060 with Max-Q Design,"9,645",403,65,6144 MB,Mobile
GeForce RTX 2070,"16,060",817,175,8192 MB,Desktop
GeForce RTX 2070 (Mobile),"12,357",602,115,8192 MB,Mobile
GeForce RTX 2070 SUPER,"18,149",879,215,8192 MB,Desktop
GeForce RTX 2070 Super with Max-Q Design,"13,401",598,80,8192 MB,Mobile
GeForce RTX 2070 with Max-Q Design,"11,413",458,80,8192 MB,Mobile
GeForce RTX 2080,"18,659",903,250,8096 MB,Desktop
GeForce RTX 2080 (Mobile),"15,014",804,150,8192 MB,Mobile
GeForce RTX 2080 SUPER,"19,465",919,250,8192 MB,Desktop
GeForce RTX 2080 Super with Max-Q Design,"13,522",564,80,8192 MB,Mobile
GeForce RTX 2080 Ti,"21,498",928,250,11264 MB,Desktop
GeForce RTX 2080 with Max-Q Design,"12,735",509,90,8192 MB,Mobile
GeForce RTX 3050 4GB Laptop GPU,"9,498",490,75,4096 MB,Mobile
GeForce RTX 3050 6GB,"10,758",883,70,6144 MB,Desktop
GeForce RTX 3050 6GB Laptop GPU,"10,136",566,80,6144 MB,Mobile
GeForce RTX 3050 8GB,"12,513",918,130,8192 MB,Desktop
GeForce RTX 3050 A Laptop GPU,"11,015",566,35,4096 MB,Mobile
GeForce RTX 3050 Laptop GPU,"12,003",826,NA,NA,Mobile
GeForce RTX 3050 OEM,"11,905",982,NA,NA,Unknown
GeForce RTX 3050 Ti Laptop GPU,"10,088",498,80,4096 MB,Mobile
GeForce RTX 3060,"16,949",989,NA,NA,Desktop
GeForce RTX 3060 12GB,"16,767",966,170,12288 MB,Desktop
GeForce RTX 3060 8GB,"15,225",973,170,8192 MB,Desktop
GeForce RTX 3060 Laptop GPU,"13,162",586,115,6144 MB,Mobile
GeForce RTX 3060 Ti,"20,299",991,200,8192 MB,Desktop
GeForce RTX 3070,"22,150","1,004",220,8192 MB,Desktop
GeForce RTX 3070 Laptop GPU,"15,162",633,115,8192 MB,Mobile
GeForce RTX 3070 Ti,"23,292","1,061",290,8192 MB,Desktop
GeForce RTX 3070 Ti Laptop GPU,"17,561",776,115,8192 MB,Mobile
GeForce RTX 3080,"25,049","1,062",320,10240 MB,Desktop
GeForce RTX 3080 12GB,"26,577","1,094",350,12288 MB,Desktop
GeForce RTX 3080 Laptop GPU,"16,202",633,115,8192 MB,Mobile
GeForce RTX 3080 Ti,"26,812","1,095",350,12288 MB,Desktop
GeForce RTX 3080 Ti Laptop GPU,"19,010",817,115,16384 MB,Mobile
GeForce RTX 3090,"26,583","1,068",350,24576 MB,Desktop
GeForce RTX 3090 Ti,"29,359","1,228",450,24576 MB,Desktop
GeForce RTX 4050 Laptop GPU,"14,329",630,115,6144 MB,Mobile
GeForce RTX 4060,"19,541","1,041",115,8192 MB,Desktop
GeForce RTX 4060 Laptop GPU,"17,409",731,115,8192 MB,Mobile
GeForce RTX 4060 Ti,"22,624","1,098",160,8192 MB,Desktop
GeForce RTX 4060 Ti 16GB,"22,695","1,080",165,16384 MB,Desktop
GeForce RTX 4070,"26,916","1,168",200,12288 MB,Desktop
GeForce RTX 4070 Laptop GPU,"19,550",766,115,8192 MB,Mobile
GeForce RTX 4070 SUPER,"29,962","1,192",220,12288 MB,Desktop
GeForce RTX 4070 Ti,"31,571","1,207",285,12288 MB,Desktop
GeForce RTX 4070 Ti SUPER,"31,836","1,240",285,16384 MB,Desktop
GeForce RTX 4080,"34,450","1,249",320,16384 MB,Desktop
GeForce RTX 4080 Laptop GPU,"24,796",925,150,12288 MB,Mobile
GeForce RTX 4080 SUPER,"34,225","1,275",320,16384 MB,Desktop
GeForce RTX 4090,"38,109","1,303",450,24576 MB,Desktop
GeForce RTX 4090 D,"30,621",971,NA,NA,Unknown
GeForce RTX 4090 Laptop GPU,"27,052",986,150,16384 MB,Mobile
GeForce RTX 5050,"17,254","1,073",NA,NA,Desktop
GeForce RTX 5050 Laptop GPU,"14,626",767,100,8192 MB,Mobile
GeForce RTX 5060,"20,783","1,168",170,8192 MB,Desktop
GeForce RTX 5060 Laptop GPU,"17,200",863,100,8192 MB,Mobile
GeForce RTX 5060 Ti 16GB,"22,721","1,219",180,16384 MB,Desktop
GeForce RTX 5060 Ti 8GB,"22,567","1,220",180,8192 MB,Desktop
GeForce RTX 5070,"28,808","1,306",250,12288 MB,Desktop
GeForce RTX 5070 Laptop GPU,"19,378",886,100,8192 MB,Mobile
GeForce RTX 5070 Ti,"32,460","1,334",300,16384 MB,Desktop
GeForce RTX 5070 Ti Laptop GPU,"22,897",971,115,12288 MB,Mobile
GeForce RTX 5080,"35,790","1,413",360,16384 MB,Desktop
GeForce RTX 5080 Laptop GPU,"26,653","1,092",150,16384 MB,Mobile
GeForce RTX 5090,"38,838","1,412",575,32768 MB,Desktop
GeForce RTX 5090 D,"40,971","1,369",575,32768 MB,Desktop
GeForce RTX 5090 D v2,"30,399","1,371",NA,NA,Desktop
GeForce RTX 5090 Laptop GPU,"28,821","1,085",150,24576 MB,Mobile
GeForce2 Go,4,95,NA,32 MB,Mobile
GeForce2 GTS/GeForce2 Pro,4,136,NA,NA,Unknown
GeForce2 Integrated GPU,4,171,NA,NA,Unknown
GeForce2 MX,3,143,NA,64 MB,Desktop
GeForce2 MX 100/200,3,119,NA,NA,Unknown
GeForce2 MX with DVI-D and TV-out,5,187,NA,NA,Unknown
GeForce2 MX with TV Out,3,98,NA,NA,Unknown
GeForce2 MX/MX 400,4,129,NA,NA,Unknown
GeForce2 Ti,5,149,NA,64 MB,Desktop
GeForce2 Ultra,6,147,NA,64 MB,Desktop
GeForce3,5,120,NA,64 MB,Desktop
GeForce3 Ti 200,4,140,NA,NA,Unknown
GeForce3 Ti 500,3,116,NA,NA,Unknown
GeForce4 420 Go,3,147,NA,32 MB,Mobile
GeForce4 420 Go 32M,5,168,NA,NA,Unknown
GeForce4 4200 Go,4,173,NA,64 MB,Mobile
GeForce4 440,5,193,NA,NA,Unknown
GeForce4 440 Go,4,140,NA,64 MB,Mobile
GeForce4 440 Go 64M,6,156,NA,NA,Unknown
GeForce4 448 Go,6,199,NA,NA,Unknown
GeForce4 MX 4000,5,131,NA,NA,Unknown
GeForce4 MX 420,5,168,NA,64 MB,Desktop
GeForce4 MX 440,5,140,NA,64 MB,Desktop
GeForce4 MX 440 with AGP8X,5,157,NA,128 MB,Desktop
GeForce4 MX 440SE,5,159,NA,NA,Unknown
GeForce4 MX 460,4,176,NA,128 MB,Desktop
GeForce4 MX Integrated GPU,7,198,NA,NA,Unknown
GeForce4 Ti 4200,6,154,NA,NA,Unknown
GeForce4 Ti 4400,7,170,NA,NA,Unknown
GeForce4 Ti 4600,6,173,NA,128 MB,Desktop
GeForce4 Ti 4800,6,190,NA,NA,Unknown
GeForce4 Ti 4800 SE,7,187,NA,NA,Unknown
GeForce9400M,106,161,NA,NA,Mobile
GF117,554,446,NA,NA,Unknown
Glenfly Arise-GT-10C0,"1,007",389,NA,NA,Desktop
Glenfly Arise1020,119,28,NA,NA,Desktop
GRID GTX P40-6,"4,340",277,NA,NA,Unknown
GRID K1,651,259,NA,NA,Workstation
GRID K120Q,293,278,NA,NA,Workstation
GRID K140Q,728,457,NA,NA,Workstation
GRID K160Q,628,262,NA,NA,Workstation
GRID K180Q,534,113,NA,NA,Workstation
GRID K2,"2,737",319,NA,NA,Workstation
GRID K220Q,912,539,NA,NA,Workstation
GRID K240Q,"2,541",212,NA,NA,Workstation
GRID K260Q,"2,949",361,NA,NA,Workstation
GRID K280Q,"2,840",371,NA,NA,Workstation
GRID K520,"3,516",160,NA,NA,Workstation
GRID M10-0B,871,25,NA,NA,Unknown
GRID M10-0Q,796,344,NA,NA,Unknown
GRID M10-1B,"1,504",107,NA,NA,Unknown
GRID M10-1Q,"2,385",315,NA,NA,Unknown
GRID M10-2B,"1,644",74,NA,NA,Unknown
GRID M10-2Q,"2,692",74,NA,NA,Unknown
GRID M10-4Q,"2,937",209,NA,NA,Unknown
GRID M10-8Q,"2,595",140,NA,NA,Unknown
GRID M6-0B,912,764,NA,NA,Workstation
GRID M6-1Q,"2,069",423,NA,NA,Unknown
GRID M6-8Q,"3,568",556,NA,NA,Unknown
GRID M60-0B,"1,838",596,NA,NA,Unknown
GRID M60-0Q,827,516,NA,NA,Unknown
GRID M60-1B,"2,256",201,NA,NA,Workstation
GRID M60-1Q,"3,695",181,NA,NA,Unknown
GRID M60-2Q,"5,203",311,NA,NA,Unknown
GRID M60-4A,"2,450",70,NA,NA,Desktop
GRID M60-4Q,"3,831",278,NA,NA,Workstation
GRID M60-8A,"5,523",380,NA,NA,Unknown
GRID M60-8Q,"3,884",618,NA,NA,Unknown
GRID P100-16Q,"4,626",397,NA,NA,Unknown
GRID P100-1B,"2,223",544,NA,NA,Unknown
GRID P100-8Q,"3,346",203,NA,NA,Unknown
GRID P4-1B,"2,151",56,NA,NA,Unknown
GRID P4-1Q,730,74,NA,NA,Desktop
GRID P4-2A,"3,307",56,NA,NA,Desktop
GRID P4-2B,"1,239",16,NA,NA,Desktop
GRID P4-2B4,"2,754",31,NA,NA,Desktop
GRID P4-2Q,"3,162",47,NA,NA,Unknown
GRID P4-4A,"3,240",51,NA,NA,Desktop
GRID P4-4Q,"6,235",339,NA,NA,Unknown
GRID P4-8A,"3,206",71,NA,NA,Unknown
GRID P4-8Q,"5,283",171,NA,NA,Unknown
GRID P40-12Q,"5,540",162,NA,NA,Unknown
GRID P40-1A,"4,909",63,NA,NA,Desktop
GRID P40-1B,"3,690",90,NA,NA,Desktop
GRID P40-1Q,"3,839",460,NA,NA,Desktop
GRID P40-24Q,"7,057",308,NA,NA,Unknown
GRID P40-2B,"9,842",548,NA,NA,Unknown
GRID P40-2B4,"6,501",177,NA,NA,Unknown
GRID P40-2Q,"9,581",517,NA,NA,Unknown
GRID P40-3Q,"6,570",628,NA,NA,Unknown
GRID P40-4Q,"5,926",398,NA,NA,Unknown
GRID P40-6Q,905,33,NA,NA,Unknown
GRID P40-8Q,"7,507",171,NA,NA,Unknown
GRID P6-2Q,"3,926",337,NA,NA,Unknown
GRID P6-4A,"2,639",42,NA,NA,Unknown
GRID P6-4Q,"4,429",586,NA,NA,Unknown
GRID RTX6000-1A,388,17,NA,NA,Desktop
GRID RTX6000-1B,"8,473",592,NA,NA,Unknown
GRID RTX6000-1Q,"12,617",229,NA,NA,Desktop
GRID RTX6000-24Q,"6,521",75,NA,NA,Desktop
GRID RTX6000-2Q,656,89,NA,NA,Desktop
GRID RTX6000-4Q,509,18,NA,NA,Desktop
GRID RTX6000-6Q,"21,987",782,NA,NA,Desktop
GRID RTX6000-8Q,"4,514",102,NA,NA,Desktop
GRID RTX6000P-2B,"3,122",60,NA,NA,Desktop
GRID RTX6000P-4Q,"4,283",76,NA,NA,Unknown
GRID RTX6000P-6Q,"4,777",192,NA,NA,Unknown
GRID RTX8000-2Q,"3,574",86,NA,NA,Unknown
GRID RTX8000-4Q,"3,961",81,NA,NA,Unknown
GRID RTX8000P-12A,"4,166",78,NA,NA,Unknown
GRID RTX8000P-1B,"1,054",66,NA,NA,Desktop
GRID RTX8000P-2Q,"3,843",84,NA,NA,Unknown
GRID RTX8000P-4Q,"5,174",87,NA,NA,Desktop
GRID T4-16Q,"4,435",73,NA,NA,Unknown
GRID T4-1B,"1,160",47,NA,NA,Desktop
GRID T4-1Q,"3,303",78,NA,NA,Unknown
GRID T4-2B,"2,730",58,NA,NA,Unknown
GRID T4-2Q,"3,668",68,NA,NA,Unknown
GRID T4-4Q,"3,598",80,NA,NA,Unknown
GRID T4-8Q,"4,762",186,NA,NA,Unknown
GRID V100-16Q,"1,272",31,NA,NA,Desktop
GRID V100-2Q,"3,811",78,NA,NA,Unknown
GRID V100-8Q,16,149,NA,NA,Unknown
GRID V100D-2Q,"4,668",79,NA,NA,Unknown
GRID V100D-8Q,"4,156",518,NA,NA,Unknown
GT 430,223,325,NA,NA,Unknown
Horizon Indirect Display Driver,84,331,NA,NA,Desktop
ICE DISPLAY WDDM DRIVER,"1,805",360,NA,NA,Desktop
IncrediblE HD,389,427,NA,NA,Unknown
IncrediblE HD 3000,291,18,NA,NA,Unknown
IncrediblE HD 4000,517,520,NA,NA,Unknown
IncrediblE HD 4600,750,735,NA,NA,Unknown
Inspiration CG620 MxGPU,"9,106",812,NA,NA,Desktop
Intel - Express Chipset G41,57,325,NA,NA,Unknown
Intel - Express Chipset Q45/Q43,58,336,NA,NA,Unknown
Intel 1st Generation Intel HD,35,8,NA,NA,Desktop
Intel 2nd Generation SandyBridge HD,169,122,NA,NA,Unknown
Intel 2nd Generation SandyBridge HD 3000,205,555,NA,NA,Unknown
Intel 3rd Generation IvyBridge HD GT1,161,14,NA,NA,Unknown
Intel 4th Generation Haswell HD,420,734,NA,NA,Unknown
Intel 82845G Controller,2,132,NA,NA,Unknown
Intel 82845G/GL Controller,3,176,NA,NA,Unknown
Intel 82845G/GL/GE/PE/GV Controller,3,159,NA,NA,Unknown
Intel 82852/82855 GM/GME Controller,1,107,NA,NA,Unknown
Intel 82865G Controller,5,194,NA,NA,Unknown
Intel 82915G Express,6,206,NA,NA,Unknown
Intel 82915G/915GV/910GL,4,95,NA,NA,Unknown
Intel 82915G/GV/910GL Advanced v3.5,3,94,NA,NA,Unknown
Intel 82915G/GV/910GL Express,3,142,NA,NA,Unknown
Intel 82945G Express,9,10,NA,NA,Unknown
Intel 82945G Express-Chipsatzfamilie,8,240,NA,NA,Unknown
Intel 865 Embedded Controller,4,20,NA,NA,Unknown
"Intel 915G,910G Express",4,166,NA,NA,Unknown
Intel 915G/915GV/910GL Embedded Controller Functio,5,41,NA,NA,Unknown
Intel 945G Embedded Chipset Function 0,5,251,NA,NA,Unknown
Intel 946GZ Embedded Chipset,3,66,NA,NA,Unknown
Intel 946GZ Express,2,26,NA,NA,Unknown
Intel Arc,"5,492",678,NA,NA,Unknown
Intel Arc 130T GPU,"6,205",795,NA,NA,Desktop
Intel Arc 130V GPU,"4,507",622,NA,NA,Desktop
Intel Arc 130V GPU RI,"4,882",735,NA,NA,Desktop
Intel Arc 140T,"5,635",688,NA,NA,Desktop
Intel Arc 140T GPU,"6,668",839,NA,NA,Desktop
Intel Arc 140V GPU,"5,161",662,NA,NA,Desktop
Intel Arc 140V GPU RI,"4,791",599,NA,NA,Desktop
Intel Arc A310,"5,439",628,75,4096 MB,Desktop
Intel Arc A310 LP,"4,915",604,45,4096 MB,Desktop
Intel Arc A370M,"5,115",724,NA,NA,Unknown
Intel Arc A380,"6,305",625,75,6144 MB,Desktop
Intel Arc A380E,"6,290",835,NA,NA,Desktop
Intel Arc A530M,"8,013",741,NA,NA,Unknown
Intel Arc A580,"12,086",747,185,8192 MB,Desktop
Intel Arc A730M,"9,808",565,NA,NA,Unknown
Intel Arc A750,"12,613",737,225,8192 MB,Desktop
Intel Arc A770,"13,348",760,225,16384 MB,Desktop
Intel Arc A770M,"11,859",726,150,16384 MB,Mobile
Intel Arc B370 GPU,"8,558",714,NA,NA,Desktop
Intel Arc B390 GPU,"9,453",556,NA,NA,Desktop
Intel Arc B570,"14,127",633,150,10240 MB,Desktop
Intel Arc B580,"15,929",701,190,12288 MB,Desktop
Intel Arc GPU,"9,349",747,NA,NA,Desktop
Intel Arc Pro,"5,868",692,NA,NA,Desktop
Intel Arc Pro 130T GPU,"6,178",778,NA,NA,Desktop
Intel Arc Pro 140T GPU,"6,711",857,NA,NA,Desktop
Intel Arc Pro A30M,"5,862",696,NA,NA,Unknown
Intel Arc Pro A40/A50,"5,712",696,NA,NA,Unknown
Intel Arc Pro A60,"9,493",654,NA,NA,Unknown
Intel Arc Pro B50,"12,197",654,NA,NA,Desktop
Intel Arc Pro B60,"14,436",793,NA,NA,Desktop
Intel B43 Express Chipset,138,69,NA,NA,Unknown
Intel Coffee Lake UHD,"1,158",918,NA,NA,Unknown
Intel Extreme Controller,2,136,NA,NA,Unknown
Intel G33/G31 Express,35,14,NA,NA,Desktop
Intel G35 Express,97,111,NA,NA,Unknown
Intel G41 Express Chipset,153,13,NA,NA,Unknown
Intel G41 Express-Chipsatz,57,267,NA,NA,Unknown
Intel G45/G43 Express Chipset,146,17,24,0 MB,Desktop
Intel G45/G43/G41 Express Chipset,68,318,NA,NA,Unknown
Intel G965 Express,196,40,NA,NA,Unknown
Intel GMA 3150 Express,3,66,NA,NA,Unknown
Intel Graphics,"3,170",594,NA,NA,Unknown
Intel Haswell HD - GT1,123,492,NA,NA,Unknown
Intel Haswell HD - GT2,139,630,NA,NA,Unknown
Intel HD 2000,213,456,NA,NA,Unknown
Intel HD 3000,262,33,NA,NA,Unknown
Intel HD 4000,344,195,NA,NA,Unknown
Intel HD 4400,529,272,NA,1700 MB,Unknown
Intel HD 4600,631,312,45,0 MB,Desktop
Intel HD 4600 manual-gen9_2015-134121,620,334,NA,NA,Desktop
Intel HD 500,302,79,NA,NA,Unknown
Intel HD 5000,587,222,NA,NA,Unknown
Intel HD 505,361,91,NA,NA,Unknown
Intel HD 510,621,163,NA,NA,Unknown
Intel HD 515,637,191,NA,NA,Unknown
Intel HD 520,861,207,NA,NA,Unknown
Intel HD 5200,830,653,NA,NA,Unknown
Intel HD 530,990,252,NA,NA,Unknown
Intel HD 5300,407,178,NA,NA,Unknown
Intel HD 5500,596,227,NA,NA,Unknown
Intel HD 5600,"1,869",401,NA,NA,Unknown
Intel HD 6000,875,270,NA,NA,Unknown
Intel HD 610,677,153,NA,NA,Unknown
Intel HD 615,691,178,NA,NA,Unknown
Intel HD 630,"1,111",268,NA,NA,Unknown
Intel HD Family,465,192,NA,NA,Unknown
Intel HD Graphics 620,920,214,NA,NA,Unknown
Intel HD manual-15.28-1861,63,72,NA,NA,Unknown
Intel HD manual-gen9_2015-133271,165,119,NA,NA,Unknown
Intel HD Modded,112,303,NA,NA,Unknown
Intel HD P3000,282,64,NA,NA,Unknown
Intel HD P4000,516,636,NA,NA,Unknown
Intel HD P4600,506,491,NA,NA,Unknown
Intel HD P4600/P4700,631,359,NA,NA,Unknown
Intel HD P530,"1,154",264,NA,NA,Unknown
Intel HD P630,"1,280",288,NA,NA,Unknown
